,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
1184,0 days 19:30:00,2018-04-06,Madison Square Garden (IV),New York Knicks,28,51,Miami Heat,43,37,19569
1185,0 days 19:00:00,2018-04-06,Amway Center,Orlando Magic,24,55,Charlotte Hornets,35,45,17018
1186,0 days 19:00:00,2018-04-06,Wells Fargo Center,Philadelphia 76ers,49,30,Cleveland Cavaliers,49,31,20769
1187,0 days 22:00:00,2018-04-06,Talking Stick Resort Arena,Phoenix Suns,20,60,New Orleans Pelicans,45,34,18055
1188,0 days 19:30:00,2018-04-06,Air Canada Centre,Toronto Raptors,57,22,Indiana Pacers,47,33,19924
1189,0 days 19:00:00,2018-04-06,Capital One Arena,Washington Wizards,42,38,Atlanta Hawks,23,57,19557
1190,0 days 20:00:00,2018-04-07,United Center,Chicago Bulls,27,53,Brooklyn Nets,27,53,21669
1191,0 days 20:30:00,2018-04-07,Oracle Arena,Golden State Warriors,57,23,New Orleans Pelicans,46,34,19596
1192,0 days 20:30:00,2018-04-07,Toyota Center,Houston Rockets,64,16,Oklahoma City Thunder,46,34,18055
1193,0 days 15:30:00,2018-04-07,STAPLES Center,Los Angeles Clippers,42,38,Denver Nuggets,45,35,16166
1194,0 days 19:30:00,2018-04-07,Madison Square Garden (IV),New York Knicks,28,52,Milwaukee Bucks,43,37,19812
1195,0 days 21:00:00,2018-04-07,AT&T Center,San Antonio Spurs,46,34,Portland Trail Blazers,48,32,18610
1196,0 days 13:00:00,2018-04-08,TD Garden,Boston Celtics,54,26,Atlanta Hawks,24,57,18624
1197,0 days 13:00:00,2018-04-08,Spectrum Center,Charlotte Hornets,35,46,Indiana Pacers,48,33,16629
1198,0 days 18:00:00,2018-04-08,STAPLES Center,Los Angeles Lakers,34,46,Utah Jazz,47,33,18997
1199,0 days 15:30:00,2018-04-08,FedEx Forum,Memphis Grizzlies,22,58,Detroit Pistons,38,42,16044
1200,0 days 13:00:00,2018-04-08,Wells Fargo Center,Philadelphia 76ers,50,30,Dallas Mavericks,24,57,20846
1201,0 days 21:00:00,2018-04-08,Talking Stick Resort Arena,Phoenix Suns,20,61,Golden State Warriors,58,23,18055
1202,0 days 18:00:00,2018-04-08,Air Canada Centre,Toronto Raptors,58,22,Orlando Magic,24,56,19948
1203,0 days 19:30:00,2018-04-09,Barclays Center,Brooklyn Nets,28,53,Chicago Bulls,27,54,16187
1204,0 days 21:00:00,2018-04-09,Pepsi Center,Denver Nuggets,46,35,Portland Trail Blazers,48,33,17467
1205,0 days 19:00:00,2018-04-09,Little Caesars Arena,Detroit Pistons,38,43,Toronto Raptors,59,22,17529
1206,0 days 22:30:00,2018-04-09,STAPLES Center,Los Angeles Clippers,42,39,New Orleans Pelicans,47,34,15742
1207,0 days 19:30:00,2018-04-09,AmericanAirlines Arena,Miami Heat,43,38,Oklahoma City Thunder,47,34,19600
1208,0 days 20:00:00,2018-04-09,BMO Harris Bradley Center,Milwaukee Bucks,44,37,Orlando Magic,24,57,18717
1209,0 days 20:00:00,2018-04-09,Target Center,Minnesota Timberwolves,46,35,Memphis Grizzlies,22,59,17641
1210,0 days 19:30:00,2018-04-09,Madison Square Garden (IV),New York Knicks,28,53,Cleveland Cavaliers,50,31,19449
1211,0 days 20:30:00,2018-04-09,AT&T Center,San Antonio Spurs,47,34,Sacramento Kings,26,55,18418
1212,0 days 19:30:00,2018-04-10,Philips Arena,Atlanta Hawks,24,58,Philadelphia 76ers,51,30,15673
1213,0 days 20:30:00,2018-04-10,American Airlines Center,Dallas Mavericks,24,58,Phoenix Suns,21,61,20041
1214,0 days 19:00:00,2018-04-10,Bankers Life Fieldhouse,Indiana Pacers,48,34,Charlotte Hornets,36,46,17331
1215,0 days 22:30:00,2018-04-10,STAPLES Center,Los Angeles Lakers,34,47,Houston Rockets,65,16,18997
1216,0 days 21:00:00,2018-04-10,Vivint Smart Home Arena,Utah Jazz,48,33,Golden State Warriors,58,24,18306
1217,0 days 20:00:00,2018-04-10,Capital One Arena,Washington Wizards,43,38,Boston Celtics,54,27,18887
1218,0 days 20:00:00,2018-04-11,TD Garden,Boston Celtics,55,27,Brooklyn Nets,28,54,18624
1219,0 days 20:00:00,2018-04-11,United Center,Chicago Bulls,27,55,Detroit Pistons,39,43,21342
1220,0 days 20:00:00,2018-04-11,Quicken Loans Arena,Cleveland Cavaliers,50,32,New York Knicks,29,53,20562
1221,0 days 22:30:00,2018-04-11,STAPLES Center,Los Angeles Clippers,42,40,Los Angeles Lakers,35,47,19068
1222,0 days 20:00:00,2018-04-11,AmericanAirlines Arena,Miami Heat,44,38,Toronto Raptors,59,23,19600
1223,0 days 20:00:00,2018-04-11,Target Center,Minnesota Timberwolves,47,35,Denver Nuggets,46,36,18978
1224,0 days 20:00:00,2018-04-11,Smoothie King Center,New Orleans Pelicans,48,34,San Antonio Spurs,47,35,18573
1225,0 days 20:00:00,2018-04-11,Chesapeake Energy Arena,Oklahoma City Thunder,48,34,Memphis Grizzlies,22,60,18203
1226,0 days 20:00:00,2018-04-11,Amway Center,Orlando Magic,25,57,Washington Wizards,43,39,17598
1227,0 days 20:00:00,2018-04-11,Wells Fargo Center,Philadelphia 76ers,52,30,Milwaukee Bucks,44,38,20659
1228,0 days 22:30:00,2018-04-11,Moda Center,Portland Trail Blazers,49,33,Utah Jazz,48,34,20186
1229,0 days 22:30:00,2018-04-11,Golden 1 Center,Sacramento Kings,27,55,Houston Rockets,65,17,17583
1230,0 days 20:00:00,2018-10-16,TD Garden,Boston Celtics,1,0,Philadelphia 76ers,0,1,18624
1231,0 days 22:30:00,2018-10-16,Oracle Arena,Golden State Warriors,1,0,Oklahoma City Thunder,0,1,19596
1232,0 days 19:00:00,2018-10-17,Spectrum Center,Charlotte Hornets,0,1,Milwaukee Bucks,1,0,17889
1233,0 days 19:00:00,2018-10-17,Little Caesars Arena,Detroit Pistons,1,0,Brooklyn Nets,0,1,20332
1234,0 days 20:00:00,2018-10-17,Toyota Center,Houston Rockets,0,1,New Orleans Pelicans,1,0,18055
1235,0 days 19:00:00,2018-10-17,Bankers Life Fieldhouse,Indiana Pacers,1,0,Memphis Grizzlies,0,1,17923
1236,0 days 22:30:00,2018-10-17,STAPLES Center,Los Angeles Clippers,0,1,Denver Nuggets,1,0,19068
