,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
0,0 days 20:01:00,2017-10-17,Quicken Loans Arena,Cleveland Cavaliers,1,0,Boston Celtics,0,1,20562
1,0 days 22:30:00,2017-10-17,Oracle Arena,Golden State Warriors,0,1,Houston Rockets,1,0,19596
2,0 days 19:30:00,2017-10-18,TD Garden,Boston Celtics,0,2,Milwaukee Bucks,1,0,18624
3,0 days 20:30:00,2017-10-18,American Airlines Center,Dallas Mavericks,0,1,Atlanta Hawks,1,0,19709
4,0 days 19:00:00,2017-10-18,Little Caesars Arena,Detroit Pistons,1,0,Charlotte Hornets,0,1,20491
5,0 days 19:00:00,2017-10-18,Bankers Life Fieldhouse,Indiana Pacers,1,0,Brooklyn Nets,0,1,15008
6,0 days 20:00:00,2017-10-18,FedEx Forum,Memphis Grizzlies,1,0,New Orleans Pelicans,0,1,17794
7,0 days 19:00:00,2017-10-18,Amway Center,Orlando Magic,1,0,Miami Heat,0,1,18846
8,0 days 22:00:00,2017-10-18,Talking Stick Resort Arena,Phoenix Suns,0,1,Portland Trail Blazers,1,0,18055
9,0 days 22:00:00,2017-10-18,Golden 1 Center,Sacramento Kings,0,1,Houston Rockets,2,0,17583
10,0 days 21:30:00,2017-10-18,AT&T Center,San Antonio Spurs,1,0,Minnesota Timberwolves,0,1,18418
11,0 days 21:00:00,2017-10-18,Vivint Smart Home Arena,Utah Jazz,1,0,Denver Nuggets,0,1,17588
12,0 days 19:00:00,2017-10-18,Capital One Arena,Washington Wizards,1,0,Philadelphia 76ers,0,1,20356
13,0 days 22:30:00,2017-10-19,STAPLES Center,Los Angeles Lakers,0,1,Los Angeles Clippers,1,0,18997
14,0 days 20:00:00,2017-10-19,Chesapeake Energy Arena,Oklahoma City Thunder,1,0,New York Knicks,0,1,18203
15,0 days 19:30:00,2017-10-19,Air Canada Centre,Toronto Raptors,1,0,Chicago Bulls,0,1,19800
16,0 days 19:30:00,2017-10-20,Barclays Center,Brooklyn Nets,1,1,Orlando Magic,1,1,16144
17,0 days 19:00:00,2017-10-20,Spectrum Center,Charlotte Hornets,1,1,Atlanta Hawks,1,1,18417
18,0 days 20:30:00,2017-10-20,American Airlines Center,Dallas Mavericks,0,2,Sacramento Kings,1,1,19273
19,0 days 19:00:00,2017-10-20,Bankers Life Fieldhouse,Indiana Pacers,1,1,Portland Trail Blazers,2,0,15325
20,0 days 19:00:00,2017-10-20,BMO Harris Bradley Center,Milwaukee Bucks,1,1,Cleveland Cavaliers,2,0,18717
21,0 days 20:00:00,2017-10-20,Target Center,Minnesota Timberwolves,1,1,Utah Jazz,1,1,18978
22,0 days 21:30:00,2017-10-20,Smoothie King Center,New Orleans Pelicans,0,2,Golden State Warriors,1,1,18171
23,0 days 19:00:00,2017-10-20,Wells Fargo Center,Philadelphia 76ers,0,2,Boston Celtics,1,2,20816
24,0 days 22:00:00,2017-10-20,Talking Stick Resort Arena,Phoenix Suns,0,2,Los Angeles Lakers,1,1,18055
25,0 days 19:00:00,2017-10-20,Capital One Arena,Washington Wizards,2,0,Detroit Pistons,1,1,16337
26,0 days 20:00:00,2017-10-21,United Center,Chicago Bulls,0,2,San Antonio Spurs,2,0,21640
27,0 days 20:00:00,2017-10-21,Quicken Loans Arena,Cleveland Cavaliers,2,1,Orlando Magic,2,1,20562
28,0 days 21:00:00,2017-10-21,Pepsi Center,Denver Nuggets,1,1,Sacramento Kings,1,2,19520
29,0 days 20:00:00,2017-10-21,Toyota Center,Houston Rockets,3,0,Dallas Mavericks,0,3,18055
30,0 days 22:30:00,2017-10-21,STAPLES Center,Los Angeles Clippers,2,0,Phoenix Suns,0,3,19068
31,0 days 20:00:00,2017-10-21,FedEx Forum,Memphis Grizzlies,2,0,Golden State Warriors,1,2,17794
32,0 days 20:00:00,2017-10-21,AmericanAirlines Arena,Miami Heat,1,1,Indiana Pacers,1,2,19600
33,0 days 20:30:00,2017-10-21,BMO Harris Bradley Center,Milwaukee Bucks,2,1,Portland Trail Blazers,2,1,16211
34,0 days 20:00:00,2017-10-21,Madison Square Garden (IV),New York Knicks,0,2,Detroit Pistons,2,1,19812
35,0 days 19:30:00,2017-10-21,Air Canada Centre,Toronto Raptors,2,0,Philadelphia 76ers,0,3,19800
36,0 days 21:00:00,2017-10-21,Vivint Smart Home Arena,Utah Jazz,2,1,Oklahoma City Thunder,1,1,18300
37,0 days 15:30:00,2017-10-22,Barclays Center,Brooklyn Nets,2,1,Atlanta Hawks,1,2,13917
38,0 days 21:30:00,2017-10-22,STAPLES Center,Los Angeles Lakers,1,2,New Orleans Pelicans,1,2,18997
39,0 days 19:00:00,2017-10-22,Chesapeake Energy Arena,Oklahoma City Thunder,1,2,Minnesota Timberwolves,2,1,18203
40,0 days 20:30:00,2017-10-23,American Airlines Center,Dallas Mavericks,0,4,Golden State Warriors,2,2,19875
41,0 days 21:00:00,2017-10-23,Pepsi Center,Denver Nuggets,1,2,Washington Wizards,3,0,14294
42,0 days 19:00:00,2017-10-23,Little Caesars Arena,Detroit Pistons,2,2,Philadelphia 76ers,1,3,13709
43,0 days 20:00:00,2017-10-23,Toyota Center,Houston Rockets,3,1,Memphis Grizzlies,3,0,17129
44,0 days 19:30:00,2017-10-23,AmericanAirlines Arena,Miami Heat,2,1,Atlanta Hawks,1,3,19600
45,0 days 20:00:00,2017-10-23,BMO Harris Bradley Center,Milwaukee Bucks,3,1,Charlotte Hornets,1,2,12887
46,0 days 22:00:00,2017-10-23,Talking Stick Resort Arena,Phoenix Suns,1,3,Sacramento Kings,1,3,14903
47,0 days 20:30:00,2017-10-23,AT&T Center,San Antonio Spurs,3,0,Toronto Raptors,2,1,18418
48,0 days 19:30:00,2017-10-24,TD Garden,Boston Celtics,2,2,New York Knicks,0,3,18624
49,0 days 19:00:00,2017-10-24,Quicken Loans Arena,Cleveland Cavaliers,3,1,Chicago Bulls,0,3,20562
50,0 days 22:30:00,2017-10-24,STAPLES Center,Los Angeles Clippers,3,0,Utah Jazz,2,2,16607
51,0 days 20:00:00,2017-10-24,Target Center,Minnesota Timberwolves,2,2,Indiana Pacers,2,2,14353
52,0 days 19:00:00,2017-10-24,Amway Center,Orlando Magic,3,1,Brooklyn Nets,2,2,16015
53,0 days 22:00:00,2017-10-24,Moda Center,Portland Trail Blazers,3,1,New Orleans Pelicans,1,3,19446
54,0 days 19:30:00,2017-10-25,Barclays Center,Brooklyn Nets,3,2,Cleveland Cavaliers,3,2,17732
55,0 days 19:00:00,2017-10-25,Spectrum Center,Charlotte Hornets,2,2,Denver Nuggets,1,3,14253
56,0 days 20:30:00,2017-10-25,American Airlines Center,Dallas Mavericks,1,4,Memphis Grizzlies,3,1,19674
57,0 days 19:00:00,2017-10-25,Little Caesars Arena,Detroit Pistons,3,2,Minnesota Timberwolves,2,3,13790
58,0 days 22:30:00,2017-10-25,Oracle Arena,Golden State Warriors,3,2,Toronto Raptors,2,2,19596
59,0 days 22:30:00,2017-10-25,STAPLES Center,Los Angeles Lakers,2,2,Washington Wizards,3,1,18996
60,0 days 20:00:00,2017-10-25,AmericanAirlines Arena,Miami Heat,2,2,San Antonio Spurs,4,0,19600
61,0 days 20:00:00,2017-10-25,Chesapeake Energy Arena,Oklahoma City Thunder,2,2,Indiana Pacers,2,3,18203
62,0 days 19:00:00,2017-10-25,Wells Fargo Center,Philadelphia 76ers,1,4,Houston Rockets,4,1,20682
63,0 days 22:00:00,2017-10-25,Talking Stick Resort Arena,Phoenix Suns,2,3,Utah Jazz,2,3,16022
64,0 days 20:00:00,2017-10-26,United Center,Chicago Bulls,1,3,Atlanta Hawks,1,4,21104
65,0 days 20:00:00,2017-10-26,FedEx Forum,Memphis Grizzlies,4,1,Dallas Mavericks,1,5,15839
66,0 days 20:00:00,2017-10-26,UW–Milwaukee Panther Arena,Milwaukee Bucks,3,2,Boston Celtics,3,2,11046
67,0 days 22:00:00,2017-10-26,Moda Center,Portland Trail Blazers,3,2,Los Angeles Clippers,4,0,18694
68,0 days 22:30:00,2017-10-26,Golden 1 Center,Sacramento Kings,1,4,New Orleans Pelicans,2,3,17583
69,0 days 19:30:00,2017-10-27,Philips Arena,Atlanta Hawks,1,5,Denver Nuggets,2,3,16220
70,0 days 19:00:00,2017-10-27,Spectrum Center,Charlotte Hornets,2,3,Houston Rockets,5,1,17339
71,0 days 22:30:00,2017-10-27,Oracle Arena,Golden State Warriors,4,2,Washington Wizards,3,2,19596
72,0 days 22:30:00,2017-10-27,STAPLES Center,Los Angeles Lakers,2,3,Toronto Raptors,3,2,17876
73,0 days 20:00:00,2017-10-27,Target Center,Minnesota Timberwolves,3,3,Oklahoma City Thunder,2,3,17620
74,0 days 19:30:00,2017-10-27,Madison Square Garden (IV),New York Knicks,1,3,Brooklyn Nets,3,3,19812
75,0 days 19:00:00,2017-10-27,Amway Center,Orlando Magic,4,1,San Antonio Spurs,4,1,17337
76,0 days 20:00:00,2017-10-28,United Center,Chicago Bulls,1,4,Oklahoma City Thunder,3,3,21706
77,0 days 20:30:00,2017-10-28,American Airlines Center,Dallas Mavericks,1,6,Philadelphia 76ers,2,4,19567
78,0 days 22:30:00,2017-10-28,STAPLES Center,Los Angeles Clippers,4,1,Detroit Pistons,4,2,17247
79,0 days 20:00:00,2017-10-28,FedEx Forum,Memphis Grizzlies,5,1,Houston Rockets,5,2,17033
80,0 days 20:00:00,2017-10-28,AmericanAirlines Arena,Miami Heat,2,3,Boston Celtics,4,2,19600
81,0 days 19:00:00,2017-10-28,Smoothie King Center,New Orleans Pelicans,3,3,Cleveland Cavaliers,3,3,18539
82,0 days 22:00:00,2017-10-28,Moda Center,Portland Trail Blazers,4,2,Phoenix Suns,2,4,19343
83,0 days 21:00:00,2017-10-28,Vivint Smart Home Arena,Utah Jazz,3,3,Los Angeles Lakers,2,4,18306
84,0 days 15:30:00,2017-10-29,Philips Arena,Atlanta Hawks,1,6,Milwaukee Bucks,4,2,14014
85,0 days 18:00:00,2017-10-29,Barclays Center,Brooklyn Nets,3,4,Denver Nuggets,3,3,14854
86,0 days 18:00:00,2017-10-29,Spectrum Center,Charlotte Hornets,3,3,Orlando Magic,4,2,15531
87,0 days 19:00:00,2017-10-29,Quicken Loans Arena,Cleveland Cavaliers,3,4,New York Knicks,2,3,20562
88,0 days 20:30:00,2017-10-29,Oracle Arena,Golden State Warriors,4,3,Detroit Pistons,5,2,19596
89,0 days 16:30:00,2017-10-29,Bankers Life Fieldhouse,Indiana Pacers,3,3,San Antonio Spurs,4,2,15013
90,0 days 18:00:00,2017-10-29,Golden 1 Center,Sacramento Kings,1,5,Washington Wizards,4,2,17583
91,0 days 19:30:00,2017-10-30,TD Garden,Boston Celtics,5,2,San Antonio Spurs,4,3,18624
92,0 days 20:00:00,2017-10-30,Toyota Center,Houston Rockets,5,3,Philadelphia 76ers,3,4,16714
93,0 days 22:30:00,2017-10-30,STAPLES Center,Los Angeles Clippers,4,2,Golden State Warriors,5,3,19068
94,0 days 20:00:00,2017-10-30,FedEx Forum,Memphis Grizzlies,5,2,Charlotte Hornets,4,3,15771
95,0 days 19:30:00,2017-10-30,AmericanAirlines Arena,Miami Heat,2,4,Minnesota Timberwolves,4,3,19600
96,0 days 20:00:00,2017-10-30,Smoothie King Center,New Orleans Pelicans,3,4,Orlando Magic,5,2,14004
97,0 days 19:30:00,2017-10-30,Madison Square Garden (IV),New York Knicks,3,3,Denver Nuggets,3,4,19812
98,0 days 22:00:00,2017-10-30,Moda Center,Portland Trail Blazers,4,3,Toronto Raptors,4,2,18505
99,0 days 21:00:00,2017-10-30,Vivint Smart Home Arena,Utah Jazz,4,3,Dallas Mavericks,1,7,16221
100,0 days 19:30:00,2017-10-31,Barclays Center,Brooklyn Nets,3,5,Phoenix Suns,3,4,12936
101,0 days 19:00:00,2017-10-31,Bankers Life Fieldhouse,Indiana Pacers,4,3,Sacramento Kings,1,6,12245
102,0 days 22:30:00,2017-10-31,STAPLES Center,Los Angeles Lakers,3,4,Detroit Pistons,5,3,17569
103,0 days 20:00:00,2017-10-31,BMO Harris Bradley Center,Milwaukee Bucks,4,3,Oklahoma City Thunder,4,3,16713
104,0 days 19:30:00,2017-11-01,TD Garden,Boston Celtics,6,2,Sacramento Kings,1,7,18624
105,0 days 19:00:00,2017-11-01,Spectrum Center,Charlotte Hornets,5,3,Milwaukee Bucks,4,4,15655
106,0 days 19:00:00,2017-11-01,Quicken Loans Arena,Cleveland Cavaliers,3,5,Indiana Pacers,5,3,20562
107,0 days 21:00:00,2017-11-01,Pepsi Center,Denver Nuggets,4,4,Toronto Raptors,4,3,14072
108,0 days 22:30:00,2017-11-01,STAPLES Center,Los Angeles Clippers,5,2,Dallas Mavericks,1,8,13487
109,0 days 20:00:00,2017-11-01,FedEx Forum,Memphis Grizzlies,5,3,Orlando Magic,6,2,15434
110,0 days 19:30:00,2017-11-01,AmericanAirlines Arena,Miami Heat,3,4,Chicago Bulls,1,5,19600
111,0 days 20:00:00,2017-11-01,Smoothie King Center,New Orleans Pelicans,3,5,Minnesota Timberwolves,5,3,14788
112,0 days 20:00:00,2017-11-01,Madison Square Garden (IV),New York Knicks,3,4,Houston Rockets,6,3,18320
113,0 days 19:00:00,2017-11-01,Wells Fargo Center,Philadelphia 76ers,4,4,Atlanta Hawks,1,7,20549
114,0 days 21:00:00,2017-11-01,Vivint Smart Home Arena,Utah Jazz,5,3,Portland Trail Blazers,4,4,16685
115,0 days 19:00:00,2017-11-01,Capital One Arena,Washington Wizards,4,3,Phoenix Suns,4,4,14790
116,0 days 22:30:00,2017-11-02,Moda Center,Portland Trail Blazers,5,4,Los Angeles Lakers,3,5,19469
117,0 days 20:00:00,2017-11-02,AT&T Center,San Antonio Spurs,4,4,Golden State Warriors,6,3,18418
118,0 days 19:30:00,2017-11-03,Philips Arena,Atlanta Hawks,1,8,Houston Rockets,7,3,14087
119,0 days 20:30:00,2017-11-03,American Airlines Center,Dallas Mavericks,1,9,New Orleans Pelicans,4,5,19894
120,0 days 21:00:00,2017-11-03,Pepsi Center,Denver Nuggets,5,4,Miami Heat,3,5,15317
121,0 days 19:00:00,2017-11-03,Little Caesars Arena,Detroit Pistons,6,3,Milwaukee Bucks,4,5,17207
122,0 days 22:30:00,2017-11-03,STAPLES Center,Los Angeles Lakers,4,5,Brooklyn Nets,3,6,18997
123,0 days 19:30:00,2017-11-03,Madison Square Garden (IV),New York Knicks,4,4,Phoenix Suns,4,5,19404
124,0 days 21:30:00,2017-11-03,Chesapeake Energy Arena,Oklahoma City Thunder,4,4,Boston Celtics,7,2,18203
125,0 days 19:00:00,2017-11-03,Amway Center,Orlando Magic,6,3,Chicago Bulls,2,5,19171
126,0 days 19:00:00,2017-11-03,Wells Fargo Center,Philadelphia 76ers,5,4,Indiana Pacers,5,4,20668
127,0 days 20:30:00,2017-11-03,AT&T Center,San Antonio Spurs,5,4,Charlotte Hornets,5,4,18418
128,0 days 21:00:00,2017-11-03,Vivint Smart Home Arena,Utah Jazz,5,4,Toronto Raptors,5,3,16258
129,0 days 19:00:00,2017-11-03,Capital One Arena,Washington Wizards,4,4,Cleveland Cavaliers,4,5,20356
130,0 days 20:00:00,2017-11-04,United Center,Chicago Bulls,2,6,New Orleans Pelicans,5,5,21254
131,0 days 21:00:00,2017-11-04,Pepsi Center,Denver Nuggets,5,5,Golden State Warriors,7,3,19711
132,0 days 19:00:00,2017-11-04,Little Caesars Arena,Detroit Pistons,7,3,Sacramento Kings,1,8,17683
133,0 days 15:30:00,2017-11-04,STAPLES Center,Los Angeles Clippers,5,3,Memphis Grizzlies,6,3,14777
134,0 days 20:00:00,2017-11-04,Target Center,Minnesota Timberwolves,6,3,Dallas Mavericks,1,10,16837
135,0 days 15:00:00,2017-11-05,Quicken Loans Arena,Cleveland Cavaliers,4,6,Atlanta Hawks,2,8,20562
136,0 days 19:00:00,2017-11-05,Toyota Center,Houston Rockets,8,3,Utah Jazz,5,5,16914
137,0 days 15:30:00,2017-11-05,STAPLES Center,Los Angeles Clippers,5,4,Miami Heat,4,5,15676
138,0 days 21:30:00,2017-11-05,STAPLES Center,Los Angeles Lakers,5,5,Memphis Grizzlies,6,4,18997
139,0 days 20:00:00,2017-11-05,Target Center,Minnesota Timberwolves,7,3,Charlotte Hornets,5,5,14124
140,0 days 19:30:00,2017-11-05,Madison Square Garden (IV),New York Knicks,5,4,Indiana Pacers,5,5,17889
141,0 days 18:00:00,2017-11-05,Amway Center,Orlando Magic,6,4,Boston Celtics,8,2,17731
142,0 days 21:00:00,2017-11-05,Moda Center,Portland Trail Blazers,6,4,Oklahoma City Thunder,4,5,19393
143,0 days 19:00:00,2017-11-05,AT&T Center,San Antonio Spurs,6,4,Phoenix Suns,4,6,18038
144,0 days 18:00:00,2017-11-05,Air Canada Centre,Toronto Raptors,5,4,Washington Wizards,5,4,19800
145,0 days 19:30:00,2017-11-06,Philips Arena,Atlanta Hawks,2,9,Boston Celtics,9,2,13215
146,0 days 22:30:00,2017-11-06,Oracle Arena,Golden State Warriors,8,3,Miami Heat,4,6,19596
147,0 days 21:00:00,2017-11-06,Talking Stick Resort Arena,Phoenix Suns,4,7,Brooklyn Nets,4,6,15905
148,0 days 19:00:00,2017-11-07,Quicken Loans Arena,Cleveland Cavaliers,5,6,Milwaukee Bucks,4,6,20562
149,0 days 21:00:00,2017-11-07,Pepsi Center,Denver Nuggets,6,5,Brooklyn Nets,4,7,14058
150,0 days 19:00:00,2017-11-07,Bankers Life Fieldhouse,Indiana Pacers,5,6,New Orleans Pelicans,6,5,15014
151,0 days 19:30:00,2017-11-07,Madison Square Garden (IV),New York Knicks,6,4,Charlotte Hornets,5,6,18704
152,0 days 22:00:00,2017-11-07,Moda Center,Portland Trail Blazers,6,5,Memphis Grizzlies,7,4,18692
153,0 days 22:00:00,2017-11-07,Golden 1 Center,Sacramento Kings,2,8,Oklahoma City Thunder,4,6,17583
154,0 days 20:30:00,2017-11-07,AT&T Center,San Antonio Spurs,7,4,Los Angeles Clippers,5,5,18418
155,0 days 19:30:00,2017-11-07,Air Canada Centre,Toronto Raptors,6,4,Chicago Bulls,2,7,19800
156,0 days 21:00:00,2017-11-07,Vivint Smart Home Arena,Utah Jazz,5,6,Philadelphia 76ers,6,4,16063
157,0 days 19:00:00,2017-11-07,Capital One Arena,Washington Wizards,5,5,Dallas Mavericks,2,10,14505
158,0 days 20:00:00,2017-11-08,TD Garden,Boston Celtics,10,2,Los Angeles Lakers,5,6,18624
159,0 days 19:00:00,2017-11-08,Little Caesars Arena,Detroit Pistons,8,3,Indiana Pacers,5,7,14407
160,0 days 22:30:00,2017-11-08,Oracle Arena,Golden State Warriors,9,3,Minnesota Timberwolves,7,4,19596
161,0 days 19:00:00,2017-11-08,Amway Center,Orlando Magic,7,4,New York Knicks,6,5,18803
162,0 days 21:00:00,2017-11-08,Talking Stick Resort Arena,Phoenix Suns,4,8,Miami Heat,5,6,16500
163,0 days 22:30:00,2017-11-09,Pepsi Center,Denver Nuggets,7,5,Oklahoma City Thunder,4,7,19520
164,0 days 20:00:00,2017-11-09,Toyota Center,Houston Rockets,9,3,Cleveland Cavaliers,5,7,18055
165,0 days 22:00:00,2017-11-09,Golden 1 Center,Sacramento Kings,3,8,Philadelphia 76ers,6,5,17583
166,0 days 19:30:00,2017-11-09,Air Canada Centre,Toronto Raptors,7,4,New Orleans Pelicans,6,6,19800
167,0 days 19:00:00,2017-11-09,Capital One Arena,Washington Wizards,6,5,Los Angeles Lakers,5,7,20356
168,0 days 19:30:00,2017-11-10,TD Garden,Boston Celtics,11,2,Charlotte Hornets,5,7,18624
169,0 days 20:00:00,2017-11-10,United Center,Chicago Bulls,2,8,Indiana Pacers,6,7,22416
170,0 days 19:00:00,2017-11-10,Little Caesars Arena,Detroit Pistons,9,3,Atlanta Hawks,2,10,16687
171,0 days 21:00:00,2017-11-10,Chesapeake Energy Arena,Oklahoma City Thunder,5,7,Los Angeles Clippers,5,6,18203
172,0 days 21:00:00,2017-11-10,Talking Stick Resort Arena,Phoenix Suns,4,9,Orlando Magic,8,4,16507
173,0 days 22:00:00,2017-11-10,Moda Center,Portland Trail Blazers,6,6,Brooklyn Nets,5,7,19393
174,0 days 21:00:00,2017-11-10,AT&T Center,San Antonio Spurs,7,5,Milwaukee Bucks,5,6,18418
175,0 days 21:00:00,2017-11-10,Vivint Smart Home Arena,Utah Jazz,5,7,Miami Heat,6,6,18306
176,0 days 20:30:00,2017-11-11,American Airlines Center,Dallas Mavericks,2,11,Cleveland Cavaliers,6,7,20378
177,0 days 21:00:00,2017-11-11,Pepsi Center,Denver Nuggets,8,5,Orlando Magic,8,5,16688
178,0 days 20:30:00,2017-11-11,Oracle Arena,Golden State Warriors,10,3,Philadelphia 76ers,6,6,19596
179,0 days 20:00:00,2017-11-11,Toyota Center,Houston Rockets,10,3,Memphis Grizzlies,7,5,18055
180,0 days 20:30:00,2017-11-11,BMO Harris Bradley Center,Milwaukee Bucks,6,6,Los Angeles Lakers,5,8,18717
181,0 days 19:00:00,2017-11-11,Smoothie King Center,New Orleans Pelicans,7,6,Los Angeles Clippers,5,7,17624
182,0 days 20:00:00,2017-11-11,Madison Square Garden (IV),New York Knicks,7,5,Sacramento Kings,3,9,19812
183,0 days 21:00:00,2017-11-11,Talking Stick Resort Arena,Phoenix Suns,5,9,Minnesota Timberwolves,7,5,16910
184,0 days 20:30:00,2017-11-11,AT&T Center,San Antonio Spurs,8,5,Chicago Bulls,2,9,18418
185,0 days 21:00:00,2017-11-11,Vivint Smart Home Arena,Utah Jazz,6,7,Brooklyn Nets,5,8,17413
186,0 days 19:00:00,2017-11-11,Capital One Arena,Washington Wizards,7,5,Atlanta Hawks,2,11,17260
187,0 days 15:30:00,2017-11-12,TD Garden,Boston Celtics,12,2,Toronto Raptors,7,5,18624
188,0 days 16:00:00,2017-11-12,Little Caesars Arena,Detroit Pistons,10,3,Miami Heat,6,7,16236
189,0 days 18:00:00,2017-11-12,Bankers Life Fieldhouse,Indiana Pacers,6,8,Houston Rockets,11,3,15581
190,0 days 19:00:00,2017-11-12,Chesapeake Energy Arena,Oklahoma City Thunder,6,7,Dallas Mavericks,2,12,18203
191,0 days 22:30:00,2017-11-13,Oracle Arena,Golden State Warriors,11,3,Orlando Magic,8,6,19596
192,0 days 22:30:00,2017-11-13,STAPLES Center,Los Angeles Clippers,5,8,Philadelphia 76ers,7,6,19068
193,0 days 20:00:00,2017-11-13,BMO Harris Bradley Center,Milwaukee Bucks,7,6,Memphis Grizzlies,7,6,13244
194,0 days 20:00:00,2017-11-13,Smoothie King Center,New Orleans Pelicans,8,6,Atlanta Hawks,2,12,14631
195,0 days 19:30:00,2017-11-13,Madison Square Garden (IV),New York Knicks,7,6,Cleveland Cavaliers,7,7,19812
196,0 days 21:00:00,2017-11-13,Talking Stick Resort Arena,Phoenix Suns,5,10,Los Angeles Lakers,6,8,17533
197,0 days 22:00:00,2017-11-13,Moda Center,Portland Trail Blazers,7,6,Denver Nuggets,8,6,18895
198,0 days 21:00:00,2017-11-13,Vivint Smart Home Arena,Utah Jazz,6,8,Minnesota Timberwolves,8,5,17236
199,0 days 19:00:00,2017-11-13,Capital One Arena,Washington Wizards,8,5,Sacramento Kings,3,10,14660
200,0 days 19:30:00,2017-11-14,Barclays Center,Brooklyn Nets,5,9,Boston Celtics,13,2,17732
201,0 days 20:30:00,2017-11-14,American Airlines Center,Dallas Mavericks,2,13,San Antonio Spurs,9,5,19535
202,0 days 20:00:00,2017-11-14,Toyota Center,Houston Rockets,11,4,Toronto Raptors,8,5,18055
203,0 days 19:30:00,2017-11-15,Philips Arena,Atlanta Hawks,3,12,Sacramento Kings,3,11,13860
204,0 days 20:00:00,2017-11-15,Spectrum Center,Charlotte Hornets,5,8,Cleveland Cavaliers,8,7,19427
205,0 days 22:30:00,2017-11-15,STAPLES Center,Los Angeles Lakers,6,9,Philadelphia 76ers,8,6,18997
206,0 days 20:00:00,2017-11-15,FedEx Forum,Memphis Grizzlies,7,7,Indiana Pacers,7,8,16033
207,0 days 19:30:00,2017-11-15,AmericanAirlines Arena,Miami Heat,6,8,Washington Wizards,9,5,19600
208,0 days 20:00:00,2017-11-15,BMO Harris Bradley Center,Milwaukee Bucks,8,6,Detroit Pistons,10,4,14594
209,0 days 20:00:00,2017-11-15,Target Center,Minnesota Timberwolves,9,5,San Antonio Spurs,9,6,18978
210,0 days 20:00:00,2017-11-15,Smoothie King Center,New Orleans Pelicans,8,7,Toronto Raptors,9,5,15654
211,0 days 19:30:00,2017-11-15,Madison Square Garden (IV),New York Knicks,8,6,Utah Jazz,6,9,18695
212,0 days 20:00:00,2017-11-15,Chesapeake Energy Arena,Oklahoma City Thunder,7,7,Chicago Bulls,2,10,18203
213,0 days 22:00:00,2017-11-15,Moda Center,Portland Trail Blazers,8,6,Orlando Magic,8,7,19206
214,0 days 20:00:00,2017-11-16,TD Garden,Boston Celtics,14,2,Golden State Warriors,11,4,18624
215,0 days 22:30:00,2017-11-16,Talking Stick Resort Arena,Phoenix Suns,5,11,Houston Rockets,12,4,16875
216,0 days 19:30:00,2017-11-17,Barclays Center,Brooklyn Nets,6,9,Utah Jazz,6,10,14495
217,0 days 20:00:00,2017-11-17,United Center,Chicago Bulls,3,10,Charlotte Hornets,5,9,20493
218,0 days 19:30:00,2017-11-17,Quicken Loans Arena,Cleveland Cavaliers,9,7,Los Angeles Clippers,5,9,20562
219,0 days 20:30:00,2017-11-17,American Airlines Center,Dallas Mavericks,2,14,Minnesota Timberwolves,10,5,19459
220,0 days 22:30:00,2017-11-17,Pepsi Center,Denver Nuggets,9,6,New Orleans Pelicans,8,8,16816
221,0 days 19:00:00,2017-11-17,Bankers Life Fieldhouse,Indiana Pacers,8,8,Detroit Pistons,10,5,17188
222,0 days 22:30:00,2017-11-17,STAPLES Center,Los Angeles Lakers,6,10,Phoenix Suns,6,11,18997
223,0 days 22:00:00,2017-11-17,Golden 1 Center,Sacramento Kings,4,11,Portland Trail Blazers,8,7,17583
224,0 days 20:00:00,2017-11-17,AT&T Center,San Antonio Spurs,10,6,Oklahoma City Thunder,7,8,18418
225,0 days 19:30:00,2017-11-17,Air Canada Centre,Toronto Raptors,10,5,New York Knicks,8,7,19800
226,0 days 19:00:00,2017-11-17,Capital One Arena,Washington Wizards,9,6,Miami Heat,7,8,17551
227,0 days 19:30:00,2017-11-18,Philips Arena,Atlanta Hawks,3,13,Boston Celtics,15,2,16381
228,0 days 19:00:00,2017-11-18,Spectrum Center,Charlotte Hornets,6,9,Los Angeles Clippers,5,10,17640
229,0 days 21:00:00,2017-11-18,American Airlines Center,Dallas Mavericks,3,14,Milwaukee Bucks,8,7,19949
230,0 days 20:00:00,2017-11-18,FedEx Forum,Memphis Grizzlies,7,8,Houston Rockets,13,4,17266
231,0 days 19:00:00,2017-11-18,Amway Center,Orlando Magic,8,8,Utah Jazz,7,10,19157
232,0 days 19:30:00,2017-11-18,Wells Fargo Center,Philadelphia 76ers,8,7,Golden State Warriors,12,4,20848
233,0 days 22:00:00,2017-11-18,Moda Center,Portland Trail Blazers,9,7,Sacramento Kings,4,12,19522
234,0 days 18:00:00,2017-11-19,Barclays Center,Brooklyn Nets,6,10,Golden State Warriors,13,4,17732
235,0 days 21:30:00,2017-11-19,STAPLES Center,Los Angeles Lakers,7,10,Denver Nuggets,9,7,18997
236,0 days 17:00:00,2017-11-19,AmericanAirlines Arena,Miami Heat,7,9,Indiana Pacers,9,8,19600
237,0 days 19:00:00,2017-11-19,Target Center,Minnesota Timberwolves,10,6,Detroit Pistons,11,5,16069
238,0 days 20:00:00,2017-11-19,Talking Stick Resort Arena,Phoenix Suns,7,11,Chicago Bulls,3,11,16264
